player_id,TEAM,SEASON,PLYR_YR,NUM,GP,GS,MIN/G
483,ubc,2010,,10,4.0,0.0,3.8
484,ubc,2010,,11,18.0,1.0,14.9
485,ubc,2010,,12,18.0,17.0,24.4
486,ubc,2010,,13,18.0,17.0,26.3
487,ubc,2010,,14,13.0,0.0,6.3
488,ubc,2010,,15,18.0,0.0,16.8
489,ubc,2010,,21,11.0,0.0,6.0
490,ufv,2010,F,04,18.0,11.0,24.7
491,ufv,2010,S,05,18.0,18.0,32.9
492,ufv,2010,F,06,5.0,0.0,9.0
493,ufv,2010,S,07,3.0,0.0,12.7
494,ufv,2010,F,10,17.0,5.0,21.8
495,ufv,2010,S,13,0.0,0.0,0.0
496,ufv,2010,S,14,18.0,3.0,20.8
497,ufv,2010,F,15,16.0,2.0,14.4
498,ufv,2010,J,22,18.0,16.0,24.3
499,ufv,2010,F,23,18.0,15.0,29.4
500,ufv,2010,F,24,17.0,13.0,22.2
501,ufv,2010,F,25,14.0,7.0,12.0
502,victoria,2010,,04,17.0,0.0,14.5
503,victoria,2010,,05,18.0,18.0,32.5
504,victoria,2010,,06,18.0,18.0,29.9
505,victoria,2010,,07,0.0,0.0,0.0
506,victoria,2010,,09,10.0,0.0,3.8
507,victoria,2010,,11,18.0,3.0,13.1
508,victoria,2010,,12,18.0,4.0,12.8
509,victoria,2010,,13,18.0,11.0,26.4
510,victoria,2010,,14,18.0,18.0,32.4
511,victoria,2010,,15,18.0,18.0,29.4
512,victoria,2010,,20,10.0,0.0,4.4
513,victoria,2010,,21,12.0,0.0,11.1
514,winnipeg,2010,F,01,4.0,0.0,9.8
515,winnipeg,2010,S,03,20.0,20.0,25.2
516,winnipeg,2010,S,04,15.0,15.0,33.3
517,winnipeg,2010,J,05,5.0,0.0,7.4
518,winnipeg,2010,S,06,20.0,3.0,22.6
519,winnipeg,2010,S,07,19.0,19.0,30.3
520,winnipeg,2010,J,08,20.0,6.0,24.7
521,winnipeg,2010,S,09,18.0,18.0,22.6
522,winnipeg,2010,J,10,11.0,0.0,4.8
