Year,Name,School,Conference,Grade
2010,Amanda Anderson, Western,OUA,1
2010,Jessica Clemencon, Windsor,OUA,1
2010,Tasia McKenna, Lakehead,OUA,1
2010,Taylor Smith, McMaster,OUA,1
2011,Renata Adamczyk, Laurier,OUA,1
2011,Jessica Clemencon, Windsor,OUA,1
2011,Whitney Gorges, Brock,OUA,1
2011,Matteke Hutzler, Western,OUA,1
2011,Tasia McKenna, Lakehead,OUA,1
2012,Taylor Chiarot, McMaster,OUA,1
2012,Jessica Clemencon, Windsor,OUA,1
2012,Miah-Marie Langlois, Windsor,OUA,1
2012,Nicole Rosenkranz, Brock,OUA,1
2012,Jenny Vaughan, Western,OUA,1
2013,Jessica Clemencon, Windsor,OUA,1
2013,Miah-Marie Langlois, Windsor,OUA,1
2013,Hailey Milligan-Jones, McMaster,OUA,1
2013,Nicole Rosenkranz, Brock,OUA,1
2013,Jenny Vaughan, Western,OUA,1
2014,Jessica Clemencon, Windsor,OUA,1
2014,Miah-Marie Langlois, Windsor,OUA,1
2014,Hailey Milligan-Jones, McMaster,OUA,1
2014,Jenny Vaughan, Western,OUA,1
2014,Jylisa Williams, Lakehead,OUA,1
2022,Cassidy Hirtle, Laurier,OUA,2
2022,Madalyn Picton, Western,OUA,2
2022,Tiffany Reynolds, Lakehead ,OUA,2
2022,Mackenzie Robinson, Brock,OUA,2
2022,Mackeely Shantz, Guelph,OUA,2
2010,Taylor Chiarot, McMaster,OUA,2
2010,Lindsay Druery, Lakehead,OUA,2
2010,Katelyn Leddy, Western,OUA,2
2010,Shavaun Reaney, Windsor,OUA,2
2010,Lauren Stewart, Brock,OUA,2
2011,Taylor Chiarot, McMaster,OUA,2
2011,Lindsay Druery, Lakehead,OUA,2
2011,Miah-Marie Langlois, Windsor,OUA,2
2011,Emily McKay, Brock,OUA,2
2011,Jenny Vaughan, Western,OUA,2
2012,Laura Dally, Western,OUA,2
2012,Jasmine Douglas, Guelph,OUA,2
2012,Lindsay Druery, Lakehead,OUA,2
2012,Bojana Kovacevic Glisic, Windsor,OUA,2
2012,Felicia Mazerolle, Laurier,OUA,2
2013,Laura Dally, Western,OUA,2
2013,Carolyn Fragale, Lakehead,OUA,2
2013,Kayla Goodhoofd, Guelph,OUA,2
2013,Kayla Santilli, Brock,OUA,2
2013,Korissa Williams, Windsor,OUA,2
2014,Danielle Boiago, McMaster,OUA,2
2014,Laura Doyle, Laurier,OUA,2
2014,Katherine MacTavish, Guelph,OUA,2
2014,Melissa Rondinelli, Western,OUA,2
2014,Korissa Williams, Windsor,OUA,2
2015,Bridget Atkinson, Guelph,OUA,2
2015,Liz Boag, Queens,OUA,2
2015,Hilary Hanaka, McMaster,OUA,2
2015,Clare Kenney, McMaster,OUA,2
2015,Jocelyn LaRocque, Windsor,OUA,2
2015,Mariah Nunes, Ryerson,OUA,2
2015,Lee Anna Osei, Laurier,OUA,2
2015,Lindsay Shotbolt, Carleton,OUA,2
2015,Krista Van Slingerland, Ottawa,OUA,2
2015,Caroline Wolynski, Western,OUA,2
2016,Bridget Atkinson, Guelph,OUA,2
2016,Rahshida Atkinson, Toronto,OUA,2
2016,Clare Kenney, McMaster,OUA,2
2016,Elizabeth Leblanc, Carleton,OUA,2
2016,Katherine MacTavish, Guelph,OUA,2
2016,Emily Prevost, Windsor,OUA,2
2016,Julia Soriano, Ottawa,OUA,2
2016,Melissa Tatti, Brock,OUA,2
2016,Catherine Traer, Ottawa,OUA,2
2016,Caroline Wolynski, Western,OUA,2
2017,Bridget Atkinson, Brock,OUA,2
2017,Sarah Besselink, Ottawa,OUA,2
2017,Julia Curran, Western,OUA,2
2017,Elizabeth Leblanc, Carleton,OUA,2
2017,Nicole Morrison, Laurier,OUA,2
2017,Bridget O'Reilly, Lakehead,OUA,2
2017,Andrea Priamo, Queens,OUA,2
2017,Mackenzie Puklicz, Western,OUA,2
2017,Cheyanne Roger, Windsor,OUA,2
2017,Kaitlyn Schenck, Laurier,OUA,2
2018,Veronika Lavergne, Queens,OUA,2
2018,Elizabeth Leblanc, Carleton,OUA,2
2018,Heather Lindsay, Carleton,OUA,2
2018,Nicole Morrison, Laurier,OUA,2
2018,Mackenzie Puklicz, Western,OUA,2
2019,Marianne Alarie, Queens,OUA,2
2019,Sarah Besselink, Ottawa,OUA,2
2019,Sarah Gates, McMaster,OUA,2
2019,Sofia Paska, Ryerson,OUA,2
2019,Melissa Tatti, Brock,OUA,2
2020,Burke Bechard, Guelph,OUA,2
2020,Kayah Clarke, Windsor,OUA,2
2020,Lauren Golding, York,OUA,2
2020,Samantha Keltos, Brock,OUA,2
2020,Marin Scotten, Ryerson,OUA,2
2023,Rachel Farwell, Toronto Metropolitan,OUA,2
2023,Lauren Golding, York,OUA,2
2023,Vanessa Hughes, Waterloo,OUA,2
2023,Ariane Saumure, Western,OUA,2
2023,Madalyn Weinert, Brock,OUA,2
2018,Julia Curran, Western,OUA,3
2018,Linnaea Harper, McMaster,OUA,3
2018,Brooklynn McAlear-Fanus, Ottawa,OUA,3
2018,Keyira Parkes, Toronto,OUA,3
2018,Catherine Traer, Carleton,OUA,3
2019,Burke Bechard, Guelph,OUA,3
2019,Jama Bin-Edward, Ryerson,OUA,3
2019,Alyssa Cerino, Carleton,OUA,3
2019,Brigitte Lefebvre-Okankwu, Ottawa,OUA,3
2019,Nikki Ylagan, Lakehead,OUA,3
2020,Katherine Follis, Ottawa,OUA,3
2020,Sarah Gates, McMaster,OUA,3
2020,Elizabeth Leblanc, Western,OUA,3
2020,Emma Ritcey, Queens,OUA,3
2020,Hayley Robertson, Ryerson,OUA,3
2023,Renee Armstrong, Guelph,OUA,3
2023,Dorcas Buisa, Carleton,OUA,3
2023,Laura Donovan, Queens,OUA,3
2023,Natsuki Szczokin, Ottawa,OUA,3
2023,Bailey Tabin, Laurentian,OUA,3
2010,Marie-Michelle Genois, Laval,RSEQ,1
2010,Katy Germain, Bishops,RSEQ,1
2010,Anneth Him-Lazarenko, McGill,RSEQ,1
2010,Elyse Jobin, Laval,RSEQ,1
2010,Chanelle St-Amour, Laval,RSEQ,1
2011,Michelle Auger-Bellemare, UQAM,RSEQ,1
2011,Kaylah Barrett, Concordia,RSEQ,1
2011,Marie-Michelle Genois, Laval,RSEQ,1
2011,Anneth Him-Lazarenko, McGill,RSEQ,1
2011,Marie-Eve Martin, McGill,RSEQ,1
2012,Kaylah Barrett, Concordia,RSEQ,1
2012,Francoise Charest, McGill,RSEQ,1
2012,Anneth Him-Lazarenko, McGill,RSEQ,1
2012,Elyse Jobin, Laval,RSEQ,1
2012,Jessy Roy, Bishops,RSEQ,1
2013,Kaylah Barrett, Concordia,RSEQ,1
2013,Anneth Him-Lazarenko, McGill,RSEQ,1
2013,Marie-Pascale Nadeau, Laval,RSEQ,1
2013,Emie Simard, UQAM,RSEQ,1
2013,Mariam Sylla, McGill,RSEQ,1
2014,Kaylah Barrett, Concordia,RSEQ,1
2014,Queteline Celestin, UQAM,RSEQ,1
2014,Francoise Charest, McGill,RSEQ,1
2014,Jessica Lubin, UQAM,RSEQ,1
2014,Mariam Sylla, McGill,RSEQ,1
